PCNum,App_ID,Yr,FarmName,CurrentNVNum,FarmAddCity,Email,FarmAddZip,Production,Crops
197,2290,2021,Yamamoto Farms,1001,Reno,douglas@daytonvalleyturf.com,89511,"Produce, Forage, Hydroponics, Bees, ","Cucumber, Herbs, Pepper-hot, Pepper-Sweet, Pea, Tomato, Garlic-Elephant, Pumpkin, Microgreens, Squash, Radish, Spinach, Basil, Chard, Corn, Shallots, Sunflower, Beet, Kale, "
1124,2289,2021,"Paper Stacks, LLC",,PAHRUMP,kozueseo@gmail.com,89060,"Goats, Produce, Agritourism, Hydroponics, Aeroponics, Eggs, ","Watermelon, Pumpkin, Tomato, Pepper-hot, Cantaloupe, Corn, Pepper-Bell, Papaya, Sugar Cane, Sweet potato, Gourd, Luffa, Okra, Eggplant, Basil, Squash, Cucumber, Melon, Peanut, Zucchini, Green Beans, Turnip, Brussels Sprouts, Beet, Onion, Potato, Kale, Radicchio, Carrot, Collard Greens, Leeks, Radish, Microgreens, "
1560,2283,2021,Benny’s Backyard Barn,,Pahrump,brianandjackiec@yahoo.com,89048,"Goats, Sheep, Poultry, Eggs, ",
1559,2282,2021,Moapa Valley Corn Maze,,Moapa,Moapamaze@gmail.com,89025,"Cattle, Goats, Sheep, Dairy, Swine, Produce, Grains, Agritourism, Certified Organic, Poultry, Bees, ","Pumpkin, Melon, Corn, "
243,2273,2021,Deb's Mini Farm,WAGETER18,Pahrump,debsminifarm2016@gmail.com,89060,"Produce, Eggs, ","Artichoke, Apricot, Kale, Beet, Carrot, Celery, Chili pepper, Chives, Cucumber, Cut flowers, Garlic Chives, Garlic-Hardneck, Green Beans, Eggplant, Herbs, Kohlrabi, Lettuce, Okra, Pea, Pepper-hot, Pomegranate, Pumpkin, Purslane, Radish, Squash, Strawberry, Tomatillo, Spinach, Tomato, winter squash, Zucchini, "
301,2272,2021,Pahrump Honey Co.,CHARDON18,Pahrump,cboix@live.com,89061,"Bees, ",
1546,2267,2021,Desert Stream Farm,,Gardnerville,desertstreamfarm@gmail.com,89410,"Produce, Poultry, Eggs, ","Arugula, Asian Greens , Asparagus, Baby Arugula, Baby Bak Choy, Baby Red Russian Kale, Bak Choi, Basil, Beans (harvested green, Beet, Beet greens, Broccoli, Carrot, Cauliflower, Cabbage, Chives, Cantaloupe, Cilantro, Corn, Collard Greens, Cucumber, Dill, Eggplant, Fennel, Garlic-Elephant, Garlic-Hardneck, Garlic-Softneck, Ginger, Green Onions, Jalapeno, Kabocha, Kohlrabi, Leeks, Lettuce-Blend/mix, Lettuce-Head, Lettuce-Romaine, Microgreens, Mustard Greens, Mint, Onion, Pak Choi, Parsley, Pea, Pepper-Sweet, Pepper-hot, Pepper-Bell, Potato-Fingerling, Potato-Purple, Sweet potato, Potato-Russet, Pumpkin, Radish, Spinach, Squash, Tatsoi, Tomato, Turnip, Watermelon, Zucchini, "
1544,2265,2021,Good Stewards,,Reno,jesussvz@yahoo.com,89510,"Goats, Swine, Poultry, Eggs, ",
1543,2264,2021,Good Stewards,,Reno,jesussvz@yahoo.com,89436,"Goats, Swine, Poultry, Eggs, ",
380,2263,2021,Hardisty Farms,380,Fallon,garrison.hardisty@gmail.com,89406,"Cattle, Goats, Sheep, Dairy, Swine, Produce, Grains, Forage, Floriculture, Vitaculture, Poultry, Eggs, ","Beet, Beans (harvested green, Baby Bak Choy, Brussels Sprouts, Baby Scarlet Kale, Baby Red Russian Kale, Cabbage, Chili pepper, Pepper-Bell, Pepper-Sweet, Squash, Zucchini, Tomato, Carrot, Eggplant, Cucumber, Watermelon, Cherry, Almonds, Apricot, Beet, Petite Pumpkin Green, Onion, Corn, Melon, Garlic-Softneck, Potato-Red, Potato-Fingerling, Potato-Russet, Potato-Yellow, Chard, Tomatillo, Apple, Pear, Nectarines, Rhubarb, Grape, Edible Flowers, Cut flowers, Sunflower, Turnip, Cantaloupe, Herbs, Radish, Blackberries, Crookneck, "
